Idade(meses),n,M̩dia,DP,L,M,S,"3,00%","10,00%","25,00%","50,00%","75,00%","90,00%","97,00%"
0,157,"46,57","2,55","3,4918","47,6987","0,0548","41,54","43,84","45,87","47,7","49,37","50,91","52,34"
1,57,"50,21","2,75","3,1016","50,4642","0,054","44,24","46,51","48,57","50,46","52,22","53,85","55,39"
2,67,"53,44","3,05","2,7224","53,1616","0,0532","46,88","49,13","51,21","53,16","54,99","56,73","58,37"
3,57,"57,42","3,25","2,3643","55,7231","0,0524","49,4","51,62","53,73","55,72","57,63","59,45","61,2"
4,57,"58,73","2,66","2,0336","58,0958","0,0516","51,74","53,94","56,06","58,1","60,06","61,96","63,8"
5,53,"60,97","3,28","1,7304","60,2584","0,0508","53,89","56,07","58,19","60,26","62,27","64,24","66,17"
6,56,"62,7","3,3","1,4536","62,2072","0,05","55,84",58,"60,12","62,21","64,26","66,29","68,29"
7,53,"64,38","3,32","1,2042","63,9512","0,0491","57,6","59,73","61,85","63,95","66,04","68,12","70,18"
8,55,"65,69","2,69","0,9809","65,5094","0,0484","59,18","61,29","63,4","65,51","67,62","69,74","71,85"
9,48,"66,76","2,93","0,7814","66,9077","0,0476","60,6","62,69","64,79","66,91","69,04","71,18","73,34"
10,40,"67,7","2,5","0,6038","68,1743","0,0469","61,9","63,96","66,06","68,17","70,32","72,49","74,69"
11,42,"69,43","3,62","0,4479","69,335","0,0463","63,08","65,13","67,22","69,34","71,49","73,68","75,91"
12,40,"69,88",3,"0,3137","70,4115","0,0457","64,18","66,21","68,29","70,41","72,58","74,79","77,05"
13,36,"71,13","3,17","0,2004","71,4235","0,0451","65,2","67,23","69,3","71,42","73,6","75,83","78,11"
14,24,"71,41","2,61","0,106","72,3862","0,0447","66,17","68,19","70,26","72,39","74,57","76,81","79,12"
15,37,"73,55","2,49","0,0293","73,3099","0,0443","67,09","69,1","71,18","73,31","75,51","77,76","80,09"
16,25,"74,04","2,85","-0,0307","74,2002","0,0439","67,96","69,98","72,06","74,2","76,41","78,68","81,03"
17,23,"74,47","3,5","-0,0745","75,0626","0,0437","68,8","70,82","72,91","75,06","77,28","79,57","81,94"
18,19,"75,56","2,62","-0,1024","75,9014","0,0435","69,61","71,64","73,74","75,9","78,14","80,44","82,83"
19,19,"77,26","3,31","-0,1127","76,7172","0,0433","70,38","72,43","74,54","76,72","78,97","81,29","83,69"
20,25,"78,5","3,78","-0,1032","77,5092","0,0432","71,13","73,19","75,31","77,51","79,77","82,11","84,53"
21,24,"77,86","3,89","-0,0729","78,2788","0,043","71,84","73,92","76,07","78,28","80,56","82,91","85,34"
22,24,"78,46","2,91","-0,0219","79,0311","0,0429","72,53","74,64","76,8","79,03","81,33","83,69","86,13"
23,17,"80,08","3,27","0,0493","79,7695","0,0429","73,2","75,33","77,52","79,77","82,08","84,45","86,89"
24,19,"80,99","4,92","0,1403","80,4943","0,0428","73,85","76,01","78,23","80,49","82,82","85,2","87,64"
25,15,"81,58","3,15","0,2512","81,2063","0,0427","74,49","76,68","78,92","81,21","83,54","85,93","88,37"
26,17,"81,08","3,86","0,3801","81,9078","0,0426","75,11","77,33","79,6","81,91","84,26","86,64","89,08"
27,19,"82,53","3,86","0,5248","82,6018","0,0425","75,72","77,98","80,28","82,6","84,96","87,35","89,77"
28,14,"85,34","3,72","0,6842","83,2887","0,0424","76,32","78,62","80,94","83,29","85,65","88,04","90,45"
29,12,"81,93","3,99","0,8567","83,9694","0,0423","76,91","79,25","81,61","83,97","86,34","88,73","91,12"
30,14,"83,84","2,65","1,039","84,6481","0,0422","77,49","79,88","82,27","84,65","87,03","89,4","91,78"
31,7,"86,83","3,08","1,2289","85,3262","0,0421","78,08","80,51","82,93","85,33","87,71","90,08","92,44"
32,12,"85,29","2,81","1,4241","86,0023","0,0419","78,65","81,13","83,58",86,"88,39","90,76","93,09"
33,15,"87,09","4,49","1,6229","86,6761","0,0418","79,23","81,76","84,24","86,68","89,07","91,43","93,75"
34,13,"88,09","3,69","1,8235","87,3464","0,0417","79,79","82,38","84,89","87,35","89,75","92,09","94,39"
35,20,"87,81","2,65","2,025","88,0136","0,0416","80,36","82,99","85,54","88,01","90,42","92,76","95,04"
36,14,"88,04","4,55","2,2268","88,6794","0,0414","80,92","83,6","86,19","88,68","91,09","93,42","95,69"
