Idade(anos),n,M̩dia,DP,L,M,S,"3,00%","10,00%","25,00%","50,00%","75,00%","90,00%","97,00%"
3,77,"89,65","4,29",1,"89,5691","0,0465","81,24","84,02","86,79","89,57","92,34","95,12","97,9"
4,72,"95,44","4,38",1,"95,2225","0,0456","86,54","89,43","92,33","95,22","98,12","101,01","103,91"
5,64,"100,72","4,25",1,"100,9723","0,0448","91,92","94,94","97,96","100,97","103,99","107,01","110,02"
6,51,"106,16","4,51",1,"106,9631","0,0442","97,51","100,66","103,81","106,96","110,11","113,26","116,42"
7,54,"113,37","5,19",1,"113,1439","0,0436","103,27","106,56","109,85","113,14","116,44","119,73","123,02"
8,58,"119,15","5,06",1,"119,1776","0,043","108,92","112,34","115,76","119,18","122,6","126,02","129,44"
9,59,"125,23","5,29",1,"124,7515","0,0423","114,19","117,71","121,23","124,75","128,27","131,79","135,31"
10,44,129,"5,98",1,"129,654","0,0415","118,9","122,48","126,07","129,65","133,24","136,82","140,41"
11,44,"134,2","5,17",1,"133,8188","0,0405","122,97","126,59","130,2","133,82","137,43","141,05","144,66"
12,43,"136,91","6,07",1,"137,209","0,0396","126,35","129,97","133,59","137,21","140,83","144,45","148,07"
13,50,"141,35","5,83",1,"139,8505","0,0387","129,02","132,63","136,24","139,85","143,46","147,07","150,68"
14,45,"142,52","4,96",1,"141,8087","0,038","131,03","134,62","138,22","141,81","145,4",149,"152,59"
15,38,"143,12","4,58",1,"143,2158","0,0375","132,48","136,06","139,64","143,22","146,8","150,37","153,95"
16,40,"143,82","5,27",1,"144,2139","0,0371","133,51","137,08","140,65","144,21","147,78","151,35","154,92"
17,25,"144,35","5,08",1,"144,9234","0,0369","134,24","137,8","141,36","144,92","148,48","152,05","155,61"
18,22,"145,77","5,04",1,"145,4378","0,0367","134,77","138,33","141,88","145,44","148,99","152,55","156,1"
19,15,"145,3","5,76",1,"145,83","0,0365","135,18","138,73","142,28","145,83","149,38","152,93","156,48"
20,15,"143,12","5,66",1,"146,166","0,0364","135,53","139,07","142,62","146,17","149,71","153,26","156,81"
