Idade(anos);n;M̩dia;DP;L;M;S;5%;10%;25%;50%;75%;85%;90%;95%
2;97;16.39;1.76;-1.2594;16.1884;0.1059;13.83;14.28;15.12;16.19;17.45;18.22;18.79;19.71
3;86;16.60;1.69;-1.2747;16.3847;0.1107;13.91;14.38;15.26;16.38;17.72;18.55;19.16;20.16
4;79;16.63;1.90;-1.2922;16.6125;0.1163;14.00;14.49;15.42;16.61;18.05;18.94;19.60;20.70
5;72;17.47;2.27;-1.3133;16.9091;0.1235;14.12;14.64;15.62;16.91;18.47;19.45;20.19;21.42
6;64;17.53;2.83;-1.3330;17.2500;0.1317;14.26;14.81;15.86;17.25;18.96;20.06;20.89;22.28
7;72;18.11;3.24;-1.3468;17.6922;0.1418;14.44;15.04;16.17;17.69;19.60;20.84;21.79;23.41
8;75;19.28;3.93;-1.3417;18.2846;0.1537;14.71;15.35;16.59;18.28;20.44;21.87;22.99;24.90
9;70;20.35;4.04;-1.3018;18.9805;0.1660;15.03;15.73;17.10;18.98;21.42;23.06;24.35;26.60
10;77;20.57;4.41;-1.2190;19.7185;0.1772;15.37;16.14;17.64;19.72;22.44;24.28;25.72;28.27
11;76;21.13;4.60;-1.0920;20.6106;0.1867;15.81;16.66;18.32;20.61;23.60;25.62;27.20;29.96
12;69;23.15;4.74;-0.9386;21.7209;0.1938;16.44;17.38;19.20;21.72;24.97;27.14;28.82;31.72
13;65;23.27;4.18;-0.7887;22.8300;0.1982;17.08;18.11;20.10;22.83;26.30;28.57;30.31;33.28
14;68;24.63;5.09;-0.6574;23.8454;0.2011;17.68;18.79;20.94;23.85;27.49;29.84;31.63;34.62
15;49;25.75;5.10;-0.5447;24.7468;0.2030;18.21;19.40;21.68;24.75;28.53;30.94;32.76;35.78
16;40;26.14;5.63;-0.4393;25.5368;0.2046;18.66;19.92;22.33;25.54;29.44;31.90;33.74;36.76
17;39;26.53;5.58;-0.3356;26.2865;0.2060;19.07;20.41;22.95;26.29;30.31;32.81;34.66;37.67
18;30;28.00;5.85;-0.2346;27.0475;0.2074;19.48;20.90;23.57;27.05;31.18;33.72;35.59;38.60