Idade(meses);n;M̩dia;DP;L;M;S;3%;10%;25%;50%;75%;90%;97%
0;105;33.00;1.70;1;32.8920;0.0514;30.13;30.84;31.71;32.89;34.16;35.20;36.15
1;44;35.87;1.34;1;35.8599;0.0502;33.11;33.95;34.83;35.86;36.88;37.75;38.57
2;47;37.87;1.29;1;37.8120;0.0490;34.99;35.91;36.83;37.81;38.77;39.60;40.39
3;41;39.01;1.51;1;39.1997;0.0478;36.31;37.29;38.23;39.20;40.13;40.95;41.74
4;35;40.13;1.54;1;40.2921;0.0467;37.34;38.37;39.32;40.29;41.21;42.02;42.81
5;35;41.13;1.44;1;41.1718;0.0456;38.17;39.24;40.21;41.17;42.08;42.89;43.68
6;36;41.93;1.58;1;41.8891;0.0445;38.85;39.94;40.93;41.89;42.79;43.60;44.39
7;36;42.33;1.47;1;42.4845;0.0434;39.41;40.53;41.52;42.48;43.38;44.19;44.98
8;21;42.49;1.42;1;42.9873;0.0424;39.88;41.02;42.03;42.99;43.88;44.69;45.48
9;31;43.32;1.63;1;43.4180;0.0414;40.29;41.45;42.46;43.42;44.31;45.12;45.91
10;24;43.72;1.42;1;43.7917;0.0405;40.64;41.82;42.83;43.79;44.68;45.49;46.28
11;28;44.13;1.27;1;44.1193;0.0397;40.95;42.14;43.16;44.12;45.00;45.81;46.61
12;21;44.39;1.37;1;44.4088;0.0389;41.22;42.42;43.45;44.41;45.29;46.10;46.89
13;20;44.65;1.33;1;44.6666;0.0382;41.46;42.68;43.71;44.67;45.55;46.35;47.15
14;20;44.52;1.21;1;44.8976;0.0375;41.68;42.91;43.94;44.90;45.78;46.58;47.38
15;21;44.92;1.77;1;45.1060;0.0369;41.88;43.11;44.15;45.11;45.98;46.79;47.59
16;23;45.64;1.89;1;45.2952;0.0363;42.06;43.30;44.34;45.30;46.17;46.97;47.77
17;18;44.98;1.48;1;45.4681;0.0358;42.22;43.47;44.52;45.47;46.34;47.14;47.94
18;15;45.59;1.58;1;45.6271;0.0354;42.37;43.63;44.68;45.63;46.50;47.30;48.10
19;10;46.24;1.67;1;45.7739;0.0350;42.51;43.78;44.82;45.77;46.64;47.45;48.25
20;9;45.60;1.14;1;45.9103;0.0346;42.64;43.91;44.96;45.91;46.78;47.58;48.38
21;11;45.77;0.82;1;46.0373;0.0342;42.76;44.04;45.09;46.04;46.90;47.71;48.51
22;8;45.68;0.90;1;46.1559;0.0339;42.87;44.15;45.21;46.16;47.02;47.82;48.62
23;8;46.48;1.33;1;46.2671;0.0336;42.98;44.26;45.32;46.27;47.13;47.93;48.73
24;9;45.90;1.81;1;46.3716;0.0333;43.08;44.37;45.43;46.37;47.23;48.04;48.84