Idade(meses),n,M̩dia,DP,L,M,S,3%,10%,25%,50%,75%,90%,97%
0,167,"2,89","0,47",1,"2,9753","0,1756","1,93","2,28","2,63","2,98","3,32","3,67","4,02"
1,65,"3,40","0,63",1,"3,5170","0,1742","2,29","2,70","3,11","3,52","3,93","4,33","4,74"
2,72,"4,07","0,77",1,"4,0515","0,1728","2,65","3,12","3,58","4,05","4,52","4,99","5,45"
3,62,"4,89","0,83",1,"4,5701","0,1714","3,00","3,53","4,05","4,57","5,09","5,61","6,14"
4,60,"5,25","0,79",1,"5,0652","0,1699","3,34","3,92","4,49","5,07","5,64","6,21","6,79"
5,55,"5,71","0,92",1,"5,5322","0,1684","3,67","4,29","4,91","5,53","6,15","6,77","7,40"
6,61,"6,25","1,05",1,"5,9685","0,1668","3,98","4,64","5,30","5,97","6,63","7,30","7,96"
7,56,"6,62","1,10",1,"6,3730","0,1652","4,27","4,97","5,67","6,37","7,07","7,78","8,48"
8,60,"6,93","1,06",1,"6,7465","0,1635","4,54","5,28","6,01","6,75","7,48","8,22","8,95"
9,53,"7,08","1,17",1,"7,0913","0,1618","4,80","5,56","6,33","7,09","7,86","8,62","9,39"
10,43,"7,25","1,01",1,"7,4106","0,1601","5,04","5,83","6,62","7,41","8,20","8,99","9,78"
11,43,"7,71","1,21",1,"7,7078","0,1584","5,27","6,08","6,89","7,71","8,52","9,34","10,15"
12,43,"7,97","1,31",1,"7,9856","0,1568","5,48","6,32","7,15","7,99","8,82","9,66","10,49"
13,37,"8,02","1,41",1,"8,2465","0,1552","5,69","6,54","7,39","8,25","9,10","9,95","10,81"
14,25,"8,31","1,42",1,"8,4932","0,1536","5,88","6,75","7,62","8,49","9,36","10,23","11,10"
15,37,"8,68","1,02",1,"8,7276","0,1521","6,07","6,96","7,84","8,73","9,61","10,50","11,38"
16,26,"8,95","1,09",1,"8,9518","0,1506","6,26","7,15","8,05","8,95","9,85","10,75","11,65"
17,22,"8,88","1,77",1,"9,1671","0,1492","6,43","7,34","8,26","9,17","10,08","10,99","11,90"
18,20,"9,34","1,03",1,"9,3750","0,1479","6,60","7,53","8,45","9,38","10,30","11,22","12,15"
19,18,"9,80","1,54",1,"9,5767","0,1466","6,77","7,71","8,64","9,58","10,51","11,45","12,38"
20,26,"9,85","1,25",1,"9,7733","0,1453","6,93","7,88","8,83","9,77","10,72","11,67","12,61"
21,24,"9,60","1,69",1,"9,9660","0,1441","7,09","8,05","9,01","9,97","10,92","11,88","12,84"
22,26,"9,89","1,33",1,"10,1561","0,1430","7,25","8,22","9,19","10,16","11,12","12,09","13,06"
23,17,"10,28","1,64",1,"10,3444","0,1419","7,41","8,39","9,37","10,34","11,32","12,30","13,28"
24,19,"10,42","1,66",1,"10,5316","0,1408","7,57","8,55","9,54","10,53","11,52","12,51","13,50"
25,16,"10,55","1,29",1,"10,7182","0,1398","7,72","8,72","9,72","10,72","11,72","12,72","13,71"
26,17,"10,86","1,21",1,"10,9044","0,1388","7,88","8,89","9,90","10,90","11,91","12,92","13,93"
27,19,"10,54","1,41",1,"11,0906","0,1378","8,03","9,05","10,07","11,09","12,11","13,13","14,15"
28,15,"11,93","1,72",1,"11,2768","0,1369","8,19","9,22","10,25","11,28","12,31","13,33","14,36"
29,16,"10,96","1,75",1,"11,4627","0,1360","8,35","9,38","10,42","11,46","12,50","13,54","14,58"
30,14,"11,68","1,50",1,"11,6483","0,1350","8,50","9,55","10,60","11,65","12,70","13,75","14,79"
31,8,"12,80","1,19",1,"11,8334","0,1341","8,66","9,72","10,78","11,83","12,89","13,95","15,01"
32,12,"11,88","1,48",1,"12,0178","0,1333","8,81","9,88","10,95","12,02","13,09","14,15","15,22"
33,15,"12,53","1,91",1,"12,2016","0,1324","8,97","10,05","11,12","12,20","13,28","14,36","15,43"
34,14,"12,11","1,79",1,"12,3848","0,1315","9,13","10,21","11,30","12,38","13,47","14,56","15,64"
35,19,"12,64","1,75",1,"12,5677","0,1306","9,29","10,38","11,47","12,57","13,66","14,76","15,85"
36,16,"12,49","1,50",1,"12,7504","0,1296","9,44","10,55","11,65","12,75","13,85","14,95","16,06"
